id	name	length	belongsGroup	isSample	isType
6623	D18-gDNA-s1.g1	910	4	1	8
6624	D18-gDNA-s2.g2	347	4	1	8
6625	D18-gDNA-s3.g3	743	4	1	8
6626	D18-gDNA-s3.g4	216	4	1	8
6627	D18-gDNA-s3.g5	173	4	1	8
6628	D18-gDNA-s4.g6	182	4	1	8
6629	D18-gDNA-s5.g7	538	4	1	8
6630	D18-gDNA-s6.g8	427	4	1	8
6631	D18-gDNA-s7.g9	714	4	1	8
6632	D18-gDNA-s8.g10	1000	4	1	8
6633	D18-gDNA-s8.g11	1070	4	1	8
6634	D18-gDNA-s9.g12	1089	4	1	8
6635	D18-gDNA-s11.g13	858	4	1	8
6636	D18-gDNA-s12.g14	316	4	1	8
6637	D18-gDNA-s12.g15	121	4	1	8
6638	D18-gDNA-s13.g16	336	4	1	8
6639	D18-gDNA-s13.g17	129	4	1	8
6640	D18-gDNA-s13.g18	124	4	1	8
6641	D18-gDNA-s14.g19	132	4	1	8
6642	D18-gDNA-s15.g20	368	4	1	8
6643	D18-gDNA-s15.g21	397	4	1	8
6644	D18-gDNA-s15.g22	185	4	1	8
6645	D18-gDNA-s16.g23	606	4	1	8
6646	D18-gDNA-s17.g24	1687	4	1	8
6647	D18-gDNA-s18.g26	163	4	1	8
6648	D18-gDNA-s18.g27	117	4	1	8
6649	D18-gDNA-s18.g28	1082	4	1	8
6650	D18-gDNA-s19.g29	121	4	1	8
6651	D18-gDNA-s19.g30	107	4	1	8
6652	D18-gDNA-s19.g31	190	4	1	8
6653	D18-gDNA-s19.g32	272	4	1	8
6654	D18-gDNA-s20.g33	375	4	1	8
6655	D18-gDNA-s20.g34	703	4	1	8
6656	D18-gDNA-s20.g35	279	4	1	8
6657	D18-gDNA-s21.g36	165	4	1	8
6658	D18-gDNA-s21.g37	261	4	1	8
6659	D18-gDNA-s22.g38	237	4	1	8
6660	D18-gDNA-s22.g39	330	4	1	8
6661	D18-gDNA-s23.g40	468	4	1	8
6662	D18-gDNA-s24.g41	1458	4	1	8
6663	D18-gDNA-s25.g42	157	4	1	8
6664	D18-gDNA-s25.g43	102	4	1	8
6665	D18-gDNA-s26.g44	236	4	1	8
6666	D18-gDNA-s27.g45	247	4	1	8
6667	D18-gDNA-s27.g46	466	4	1	8
6668	D18-gDNA-s28.g47	2271	4	1	8
6669	D18-gDNA-s29.g48	334	4	1	8
6670	D18-gDNA-s29.g49	328	4	1	8
6671	D18-gDNA-s29.g50	466	4	1	8
6672	D18-gDNA-s29.g51	697	4	1	8
6673	D18-gDNA-s30.g52	442	4	1	8
6674	D18-gDNA-s30.g53	114	4	1	8
6675	D18-gDNA-s30.g54	674	4	1	8
6676	D18-gDNA-s31.g55	755	4	1	8
6677	D18-gDNA-s32.g56	208	4	1	8
6678	D18-gDNA-s33.g57	1487	4	1	8
6679	D18-gDNA-s34.g59	789	4	1	8
6680	D18-gDNA-s35.g61	972	4	1	8
6681	D18-gDNA-s35.g62	148	4	1	8
6682	D18-gDNA-s37.g63	813	4	1	8
6683	D18-gDNA-s37.g64	771	4	1	8
6684	D18-gDNA-s38.g65	398	4	1	8
6685	D18-gDNA-s38.g66	355	4	1	8
6686	D18-gDNA-s38.g67	180	4	1	8
6687	D18-gDNA-s39.g68	126	4	1	8
6688	D18-gDNA-s40.g69	1102	4	1	8
6689	D18-gDNA-s40.g70	734	4	1	8
6690	D18-gDNA-s41.g71	256	4	1	8
6691	D18-gDNA-s42.g72	209	4	1	8
6692	D18-gDNA-s42.g73	355	4	1	8
6693	D18-gDNA-s43.g74	1636	4	1	8
6694	D18-gDNA-s43.g75	122	4	1	8
6695	D18-gDNA-s43.g76	303	4	1	8
6696	D18-gDNA-s43.g77	162	4	1	8
6697	D18-gDNA-s44.g78	639	4	1	8
6698	D18-gDNA-s44.g79	116	4	1	8
6699	D18-gDNA-s46.g80	376	4	1	8
6700	D18-gDNA-s46.g81	611	4	1	8
6701	D18-gDNA-s46.g82	186	4	1	8
6702	D18-gDNA-s46.g83	310	4	1	8
6703	D18-gDNA-s46.g84	2006	4	1	8
6704	D18-gDNA-s46.g85	246	4	1	8
6705	D18-gDNA-s46.g86	851	4	1	8
6706	D18-gDNA-s46.g87	368	4	1	8
6707	D18-gDNA-s46.g88	410	4	1	8
6708	D18-gDNA-s47.g89	403	4	1	8
6709	D18-gDNA-s48.g90	1759	4	1	8
6710	D18-gDNA-s49.g91	297	4	1	8
6711	D18-gDNA-s49.g92	2245	4	1	8
6712	D18-gDNA-s49.g93	167	4	1	8
6713	D18-gDNA-s49.g94	1145	4	1	8
6714	D18-gDNA-s49.g95	526	4	1	8
6715	D18-gDNA-s49.g96	966	4	1	8
6716	D18-gDNA-s50.g97	227	4	1	8
6717	D18-gDNA-s53.g99	2171	4	1	8
6718	D18-gDNA-s53.g100	256	4	1	8
6719	D18-gDNA-s54.g101	2237	4	1	8
6720	D18-gDNA-s56.g102	313	4	1	8
6721	D18-gDNA-s56.g104	1034	4	1	8
6722	D18-gDNA-s56.g105	882	4	1	8
6723	D18-gDNA-s57.g106	536	4	1	8
6724	D18-gDNA-s59.g108	796	4	1	8
6725	D18-gDNA-s59.g109	341	4	1	8
6726	D18-gDNA-s60.g110	103	4	1	8
6727	D18-gDNA-s60.g111	138	4	1	8
6728	D18-gDNA-s60.g112	469	4	1	8
6729	D18-gDNA-s60.g113	115	4	1	8
6730	D18-gDNA-s60.g114	107	4	1	8
6731	D18-gDNA-s60.g115	552	4	1	8
6732	D18-gDNA-s62.g116	1062	4	1	8
6733	D18-gDNA-s62.g117	195	4	1	8
6734	D18-gDNA-s63.g118	590	4	1	8
6735	D18-gDNA-s64.g119	873	4	1	8
6736	D18-gDNA-s64.g120	172	4	1	8
6737	D18-gDNA-s64.g121	526	4	1	8
6738	D18-gDNA-s64.g122	469	4	1	8
6739	D18-gDNA-s65.g123	490	4	1	8
6740	D18-gDNA-s65.g124	237	4	1	8
6741	D18-gDNA-s65.g125	688	4	1	8
6742	D18-gDNA-s66.g127	348	4	1	8
6743	D18-gDNA-s69.g128	402	4	1	8
6744	D18-gDNA-s69.g129	145	4	1	8
6745	D18-gDNA-s70.g130	608	4	1	8
6746	D18-gDNA-s71.g132	106	4	1	8
6747	D18-gDNA-s71.g134	541	4	1	8
6748	D18-gDNA-s72.g135	726	4	1	8
6749	D18-gDNA-s72.g136	244	4	1	8
6750	D18-gDNA-s73.g137	1208	4	1	8
6751	D18-gDNA-s74.g138	105	4	1	8
6752	D18-gDNA-s75.g140	2768	4	1	8
6753	D18-gDNA-s75.g141	436	4	1	8
6754	D18-gDNA-s76.g142	153	4	1	8
6755	D18-gDNA-s76.g143	333	4	1	8
6756	D18-gDNA-s76.g144	691	4	1	8
6757	D18-gDNA-s76.g145	634	4	1	8
6758	D18-gDNA-s77.g146	163	4	1	8
6759	D18-gDNA-s77.g147	191	4	1	8
6760	D18-gDNA-s77.g148	208	4	1	8
6761	D18-gDNA-s78.g149	454	4	1	8
6762	D18-gDNA-s78.g150	239	4	1	8
6763	D18-gDNA-s78.g151	2570	4	1	8
6764	D18-gDNA-s80.g152	152	4	1	8
6765	D18-gDNA-s80.g153	244	4	1	8
6766	D18-gDNA-s81.g154	645	4	1	8
6767	D18-gDNA-s83.g156	190	4	1	8
6768	D18-gDNA-s84.g157	599	4	1	8
6769	D18-gDNA-s84.g158	206	4	1	8
6770	D18-gDNA-s84.g159	157	4	1	8
6771	D18-gDNA-s85.g160	153	4	1	8
6772	D18-gDNA-s85.g161	1667	4	1	8
6773	D18-gDNA-s85.g162	219	4	1	8
6774	D18-gDNA-s86.g163	883	4	1	8
6775	D18-gDNA-s87.g164	1248	4	1	8
6776	D18-gDNA-s87.g165	138	4	1	8
6777	D18-gDNA-s88.g166	181	4	1	8
6778	D18-gDNA-s88.g167	864	4	1	8
6779	D18-gDNA-s89.g168	317	4	1	8
6780	D18-gDNA-s89.g169	139	4	1	8
6781	D18-gDNA-s89.g170	320	4	1	8
6782	D18-gDNA-s90.g171	383	4	1	8
6783	D18-gDNA-s91.g172	227	4	1	8
6784	D18-gDNA-s91.g173	116	4	1	8
6785	D18-gDNA-s91.g175	508	4	1	8
6786	D18-gDNA-s92.g176	1110	4	1	8
6787	D18-gDNA-s92.g177	410	4	1	8
6788	D18-gDNA-s93.g179	787	4	1	8
6789	D18-gDNA-s93.g180	517	4	1	8
6790	D18-gDNA-s93.g181	163	4	1	8
6791	D18-gDNA-s93.g182	271	4	1	8
6792	D18-gDNA-s94.g183	302	4	1	8
6793	D18-gDNA-s94.g184	377	4	1	8
6794	D18-gDNA-s94.g185	312	4	1	8
6795	D18-gDNA-s94.g186	815	4	1	8
6796	D18-gDNA-s94.g187	988	4	1	8
6797	D18-gDNA-s95.g188	2040	4	1	8
6798	D18-gDNA-s96.g189	1145	4	1	8
6799	D18-gDNA-s96.g190	109	4	1	8
6800	D18-gDNA-s96.g191	142	4	1	8
6801	D18-gDNA-s97.g192	850	4	1	8
6802	D18-gDNA-s97.g193	233	4	1	8
6803	D18-gDNA-s97.g194	475	4	1	8
6804	D18-gDNA-s97.g196	178	4	1	8
6805	D18-gDNA-s98.g197	437	4	1	8
6806	D18-gDNA-s99.g198	418	4	1	8
6807	D18-gDNA-s99.g199	551	4	1	8
6808	D18-gDNA-s101.g200	1021	4	1	8
6809	D18-gDNA-s103.g201	697	4	1	8
6810	D18-gDNA-s104.g202	843	4	1	8
6811	D18-gDNA-s104.g203	246	4	1	8
6812	D18-gDNA-s104.g205	321	4	1	8
6813	D18-gDNA-s104.g206	795	4	1	8
6814	D18-gDNA-s104.g207	1514	4	1	8
6815	D18-gDNA-s104.g208	144	4	1	8
6816	D18-gDNA-s104.g209	686	4	1	8
6817	D18-gDNA-s104.g210	1376	4	1	8
6818	D18-gDNA-s104.g212	1003	4	1	8
6819	D18-gDNA-s104.g213	274	4	1	8
6820	D18-gDNA-s104.g214	271	4	1	8
6821	D18-gDNA-s104.g215	715	4	1	8
6822	D18-gDNA-s106.g216	709	4	1	8
6823	D18-gDNA-s106.g217	794	4	1	8
6824	D18-gDNA-s107.g218	1929	4	1	8
6825	D18-gDNA-s107.g219	206	4	1	8
6826	D18-gDNA-s108.g220	730	4	1	8
6827	D18-gDNA-s108.g221	538	4	1	8
6828	D18-gDNA-s108.g222	253	4	1	8
6829	D18-gDNA-s108.g223	259	4	1	8
6830	D18-gDNA-s108.g224	253	4	1	8
6831	D18-gDNA-s108.g225	207	4	1	8
6832	D18-gDNA-s109.g226	543	4	1	8
6833	D18-gDNA-s110.g227	139	4	1	8
6834	D18-gDNA-s111.g228	129	4	1	8
6835	D18-gDNA-s112.g229	290	4	1	8
6836	D18-gDNA-s112.g230	103	4	1	8
6837	D18-gDNA-s113.g231	105	4	1	8
6838	D18-gDNA-s114.g232	853	4	1	8
6839	D18-gDNA-s114.g233	982	4	1	8
6840	D18-gDNA-s114.g234	1030	4	1	8
6841	D18-gDNA-s114.g235	126	4	1	8
6842	D18-gDNA-s114.g236	532	4	1	8
6843	D18-gDNA-s114.g237	786	4	1	8
6844	D18-gDNA-s116.g238	853	4	1	8
6845	D18-gDNA-s116.g239	364	4	1	8
6846	D18-gDNA-s116.g240	341	4	1	8
6847	D18-gDNA-s116.g241	574	4	1	8
6848	D18-gDNA-s117.g242	232	4	1	8
6849	D18-gDNA-s117.g243	566	4	1	8
6850	D18-gDNA-s120.g244	747	4	1	8
6851	D18-gDNA-s120.g245	1249	4	1	8
6852	D18-gDNA-s120.g246	695	4	1	8
6853	D18-gDNA-s120.g247	676	4	1	8
6854	D18-gDNA-s121.g248	1479	4	1	8
6855	D18-gDNA-s122.g249	1077	4	1	8
6856	D18-gDNA-s123.g250	1672	4	1	8
6857	D18-gDNA-s123.g251	301	4	1	8
6858	D18-gDNA-s123.g252	370	4	1	8
6859	D18-gDNA-s125.g253	718	4	1	8
6860	D18-gDNA-s125.g254	242	4	1	8
6861	D18-gDNA-s125.g255	376	4	1	8
6862	D18-gDNA-s126.g256	697	4	1	8
6863	D18-gDNA-s127.g257	247	4	1	8
6864	D18-gDNA-s127.g258	1005	4	1	8
6865	D18-gDNA-s127.g259	1669	4	1	8
6866	D18-gDNA-s130.g260	106	4	1	8
6867	D18-gDNA-s130.g261	622	4	1	8
6868	D18-gDNA-s130.g262	1376	4	1	8
6869	D18-gDNA-s131.g263	748	4	1	8
6870	D18-gDNA-s131.g264	448	4	1	8
6871	D18-gDNA-s132.g266	543	4	1	8
6872	D18-gDNA-s133.g267	1368	4	1	8
6873	D18-gDNA-s136.g268	206	4	1	8
6874	D18-gDNA-s136.g269	344	4	1	8
6875	D18-gDNA-s137.g270	383	4	1	8
6876	D18-gDNA-s138.g271	101	4	1	8
6877	D18-gDNA-s139.g272	962	4	1	8
6878	D18-gDNA-s141.g274	658	4	1	8
6879	D18-gDNA-s141.g275	407	4	1	8
6880	D18-gDNA-s141.g276	1557	4	1	8
6881	D18-gDNA-s141.g277	259	4	1	8
6882	D18-gDNA-s142.g278	435	4	1	8
6883	D18-gDNA-s143.g279	1081	4	1	8
6884	D18-gDNA-s143.g280	315	4	1	8
6885	D18-gDNA-s144.g281	136	4	1	8
6886	D18-gDNA-s145.g282	306	4	1	8
6887	D18-gDNA-s145.g283	374	4	1	8
6888	D18-gDNA-s146.g284	142	4	1	8
6889	D18-gDNA-s146.g285	1346	4	1	8
6890	D18-gDNA-s146.g286	323	4	1	8
6891	D18-gDNA-s147.g287	439	4	1	8
6892	D18-gDNA-s147.g288	467	4	1	8
6893	D18-gDNA-s147.g289	2836	4	1	8
6894	D18-gDNA-s147.g290	396	4	1	8
6895	D18-gDNA-s148.g292	309	4	1	8
6896	D18-gDNA-s150.g293	639	4	1	8
6897	D18-gDNA-s151.g294	1086	4	1	8
6898	D18-gDNA-s152.g295	236	4	1	8
6899	D18-gDNA-s152.g296	435	4	1	8
6900	D18-gDNA-s152.g297	322	4	1	8
6901	D18-gDNA-s152.g298	171	4	1	8
6902	D18-gDNA-s152.g299	453	4	1	8
6903	D18-gDNA-s152.g300	1630	4	1	8
6904	D18-gDNA-s152.g301	623	4	1	8
6905	D18-gDNA-s153.g302	1535	4	1	8
6906	D18-gDNA-s153.g303	1031	4	1	8
6907	D18-gDNA-s154.g304	1204	4	1	8
6908	D18-gDNA-s155.g305	500	4	1	8
6909	D18-gDNA-s156.g306	165	4	1	8
6910	D18-gDNA-s156.g307	453	4	1	8
6911	D18-gDNA-s156.g308	478	4	1	8
6912	D18-gDNA-s159.g309	1092	4	1	8
6913	D18-gDNA-s159.g310	102	4	1	8
6914	D18-gDNA-s160.g311	679	4	1	8
6915	D18-gDNA-s162.g312	409	4	1	8
6916	D18-gDNA-s162.g313	364	4	1	8
6917	D18-gDNA-s162.g314	513	4	1	8
6918	D18-gDNA-s162.g315	1451	4	1	8
6919	D18-gDNA-s164.g317	358	4	1	8
6920	D18-gDNA-s165.g318	263	4	1	8
6921	D18-gDNA-s165.g319	266	4	1	8
6922	D18-gDNA-s166.g320	1187	4	1	8
6923	D18-gDNA-s167.g321	657	4	1	8
6924	D18-gDNA-s168.g322	1276	4	1	8
6925	D18-gDNA-s169.g324	1343	4	1	8
6926	D18-gDNA-s169.g325	136	4	1	8
6927	D18-gDNA-s170.g327	1006	4	1	8
6928	D18-gDNA-s170.g328	279	4	1	8
6929	D18-gDNA-s170.g329	1868	4	1	8
6930	D18-gDNA-s170.g330	1255	4	1	8
6931	D18-gDNA-s170.g331	273	4	1	8
6932	D18-gDNA-s171.g332	342	4	1	8
6933	D18-gDNA-s171.g333	157	4	1	8
6934	D18-gDNA-s171.g334	1702	4	1	8
6935	D18-gDNA-s171.g335	625	4	1	8
6936	D18-gDNA-s173.g336	645	4	1	8
6937	D18-gDNA-s174.g337	373	4	1	8
6938	D18-gDNA-s175.g338	682	4	1	8
6939	D18-gDNA-s175.g339	152	4	1	8
6940	D18-gDNA-s175.g340	114	4	1	8
6941	D18-gDNA-s175.g341	934	4	1	8
6942	D18-gDNA-s175.g342	135	4	1	8
