id	onSequence	start	end	strand	name	annotation	species	source	method	score
1	6623	7	443	1	XP_022015088.1	uncharacterized protein LOC110914610	Helianthus annuus	nr	diaBlastP	3.0e-90
2	6623	7	443	1	XP_022033561.1	uncharacterized protein LOC110935484	Helianthus annuus	nr	diaBlastP	1.1e-89
3	6623	7	460	1	XP_022018194.1	uncharacterized protein LOC110918139	Helianthus annuus	nr	diaBlastP	1.6e-88
4	6623	7	460	1	XP_021995823.1	uncharacterized protein LOC110893006	Helianthus annuus	nr	diaBlastP	1.8e-87
5	6623	7	476	1	XP_022022335.1	uncharacterized protein LOC110922327	Helianthus annuus	nr	diaBlastP	2.4e-87
6	6624	8	305	1	XP_021984626.1	uncharacterized protein LOC110880341	Helianthus annuus	nr	diaBlastP	6.9e-112
7	6624	8	305	1	XP_022041746.1	uncharacterized protein LOC110944391	Helianthus annuus	nr	diaBlastP	9.0e-112
8	6624	8	305	1	XP_021995438.1	uncharacterized protein LOC110892589	Helianthus annuus	nr	diaBlastP	1.5e-111
9	6624	8	305	1	XP_022019678.1	uncharacterized protein LOC110919727	Helianthus annuus	nr	diaBlastP	1.7e-110
10	6624	8	305	1	XP_022040843.1	uncharacterized protein LOC110943402	Helianthus annuus	nr	diaBlastP	6.4e-110
11	6627	41	741	1	OTG19729.1	putative reverse transcriptase domain-containing protein	Helianthus annuus	nr	diaBlastP	1.4e-175
12	6627	1	742	1	OTF91342.1	putative reverse transcriptase domain-containing protein	Helianthus annuus	nr	diaBlastP	7.9e-174
13	6627	48	741	1	OTG05998.1	putative reverse transcriptase domain-containing protein	Helianthus annuus	nr	diaBlastP	2.5e-172
14	6627	49	741	1	OTG09789.1	putative reverse transcriptase domain-containing protein	Helianthus annuus	nr	diaBlastP	1.3e-171
15	6627	46	741	1	OTG31196.1	putative reverse transcriptase domain-containing protein	Helianthus annuus	nr	diaBlastP	1.3e-171
16	6629	1	502	1	OTG21245.1	putative ribonuclease H-like domain, Reverse transcriptase, RNA-dependent DNA polymerase	Helianthus annuus	nr	diaBlastP	2.0e-206
17	6629	1	502	1	OTG12547.1	putative ribonuclease H-like domain-containing protein	Helianthus annuus	nr	diaBlastP	1.4e-204
18	6629	1	502	1	OTF87381.1	putative ribonuclease H-like domain-containing protein	Helianthus annuus	nr	diaBlastP	1.5e-203
19	6629	1	502	1	OTF85719.1	putative ribonuclease H-like domain, Reverse transcriptase, RNA-dependent DNA polymerase	Helianthus annuus	nr	diaBlastP	2.0e-203
20	6629	1	502	1	OTG10571.1	putative ribonuclease H-like domain-containing protein	Helianthus annuus	nr	diaBlastP	7.7e-203
21	6630	1	426	1	OTG27877.1	putative reverse transcriptase domain, Ribonuclease H-like domain protein	Helianthus annuus	nr	diaBlastP	3.6e-139
22	6630	1	426	1	OTG36565.1	putative reverse transcriptase domain-containing protein	Helianthus annuus	nr	diaBlastP	6.2e-139
23	6630	1	425	1	OTG01228.1	putative reverse transcriptase domain-containing protein	Helianthus annuus	nr	diaBlastP	8.1e-139
24	6630	1	426	1	OTG31196.1	putative reverse transcriptase domain-containing protein	Helianthus annuus	nr	diaBlastP	8.1e-139
25	6630	1	426	1	OTF91700.1	putative reverse transcriptase domain, Ribonuclease H-like domain protein	Helianthus annuus	nr	diaBlastP	6.9e-138
26	6631	261	468	1	XP_022031807.1	uncharacterized protein LOC110932862	Helianthus annuus	nr	diaBlastP	7.9e-46
27	6631	260	455	1	XP_022003179.1	uncharacterized protein LOC110900599	Helianthus annuus	nr	diaBlastP	2.0e-41
28	6631	262	453	1	OTG16582.1	putative zinc finger, CCHC-type	Helianthus annuus	nr	diaBlastP	2.2e-40
29	6631	261	455	1	XP_022030862.1	uncharacterized protein LOC110931794	Helianthus annuus	nr	diaBlastP	2.2e-40
30	6631	261	455	1	OTG32740.1	putative zinc finger, CCHC-type	Helianthus annuus	nr	diaBlastP	5.0e-40
31	6631	539	648	1	OTG32740.1	putative zinc finger, CCHC-type	Helianthus annuus	nr	diaBlastP	3.2e-23
32	6633	562	990	1	KZN00833.1	hypothetical protein DCAR_009587	Daucus carota subsp. sativus	nr	diaBlastP	2.4e-125
33	6633	562	991	1	KYP33754.1	Retrovirus-related Pol polyprotein from transposon TNT 1-94	Cajanus cajan	nr	diaBlastP	4.1e-117
34	6633	562	991	1	KYP66812.1	Retrovirus-related Pol polyprotein from transposon TNT 1-94	Cajanus cajan	nr	diaBlastP	9.2e-117
35	6633	562	995	1	KYP38726.1	Retrovirus-related Pol polyprotein from transposon TNT 1-94	Cajanus cajan	nr	diaBlastP	2.9e-115
36	6633	562	995	1	KYP55105.1	Copia protein	Cajanus cajan	nr	diaBlastP	3.8e-115
37	6634	11	1088	1	CAN66637.1	hypothetical protein VITISV_011340	Vitis vinifera	nr	diaBlastP	0.0e+00
38	6634	11	1088	1	CAN73567.1	hypothetical protein VITISV_003451	Vitis vinifera	nr	diaBlastP	0.0e+00
39	6634	3	1088	1	KZV51625.1	hypothetical protein F511_24998	Dorcoceras hygrometricum	nr	diaBlastP	0.0e+00
40	6634	36	1088	1	KZV39555.1	hypothetical protein F511_13790, partial	Dorcoceras hygrometricum	nr	diaBlastP	0.0e+00
41	6634	2	1088	1	PHT39301.1	hypothetical protein CQW23_22874	Capsicum baccatum	nr	diaBlastP	0.0e+00
42	6637	87	253	1	OTG20193.1	putative reverse transcriptase domain, Ribonuclease H-like domain, Aspartic peptidase domain protein	Helianthus annuus	nr	diaBlastP	2.2e-69
43	6637	87	253	1	OTG20164.1	putative reverse transcriptase domain-containing protein	Helianthus annuus	nr	diaBlastP	2.2e-69
44	6637	87	253	1	OTG27723.1	putative reverse transcriptase domain-containing protein	Helianthus annuus	nr	diaBlastP	2.2e-69
45	6637	87	253	1	OTG36301.1	putative reverse transcriptase domain-containing protein	Helianthus annuus	nr	diaBlastP	2.2e-69
46	6637	87	253	1	OTG24837.1	putative reverse transcriptase domain-containing protein	Helianthus annuus	nr	diaBlastP	8.5e-69
47	6638	77	306	1	XP_022024599.1	uncharacterized protein LOC110924935	Helianthus annuus	nr	diaBlastP	2.9e-43
48	6639	12	115	1	XP_022029378.1	uncharacterized protein LOC110930385	Helianthus annuus	nr	diaBlastP	1.7e-23
49	6639	12	115	1	XP_022014271.1	uncharacterized protein LOC110913759	Helianthus annuus	nr	diaBlastP	1.7e-23
50	6639	12	115	1	XP_022021934.1	uncharacterized protein LOC110921915	Helianthus annuus	nr	diaBlastP	1.7e-23
51	6639	7	115	1	XP_022015088.1	uncharacterized protein LOC110914610	Helianthus annuus	nr	diaBlastP	6.4e-23
52	6639	7	115	1	XP_021995823.1	uncharacterized protein LOC110893006	Helianthus annuus	nr	diaBlastP	1.1e-22
53	6640	12	117	1	XP_022029378.1	uncharacterized protein LOC110930385	Helianthus annuus	nr	diaBlastP	3.1e-22
54	6640	12	117	1	XP_022014271.1	uncharacterized protein LOC110913759	Helianthus annuus	nr	diaBlastP	3.1e-22
55	6640	12	117	1	XP_022021934.1	uncharacterized protein LOC110921915	Helianthus annuus	nr	diaBlastP	3.1e-22
56	6640	12	117	1	XP_022004663.1	uncharacterized protein LOC110902270	Helianthus annuus	nr	diaBlastP	2.0e-21
57	6644	23	397	1	OTG37453.1	putative ribonuclease H-like domain-containing protein	Helianthus annuus	nr	diaBlastP	2.0e-160
58	6644	23	397	1	OTG18542.1	putative ribonuclease H-like domain-containing protein	Helianthus annuus	nr	diaBlastP	2.7e-160
59	6644	23	397	1	OTG04157.1	putative ribonuclease H-like domain-containing protein	Helianthus annuus	nr	diaBlastP	2.3e-159
60	6644	23	397	1	OTG01970.1	putative ribonuclease H-like domain, Reverse transcriptase, RNA-dependent DNA polymerase	Helianthus annuus	nr	diaBlastP	8.1e-133
61	6644	23	397	1	OTG24127.1	putative ribonuclease H-like domain-containing protein	Helianthus annuus	nr	diaBlastP	2.9e-130
62	6648	72	1055	1	XP_021994047.1	uncharacterized protein LOC110890728	Helianthus annuus	nr	diaBlastP	0.0e+00
63	6648	46	1055	1	XP_022030670.1	uncharacterized protein LOC110931590	Helianthus annuus	nr	diaBlastP	0.0e+00
64	6648	46	1055	1	XP_021995605.1	uncharacterized protein LOC110892763	Helianthus annuus	nr	diaBlastP	0.0e+00
65	6648	76	1061	1	XP_021995976.1	uncharacterized protein LOC110893165	Helianthus annuus	nr	diaBlastP	0.0e+00
66	6648	92	1055	1	OTG16266.1	putative reverse transcriptase domain-containing protein	Helianthus annuus	nr	diaBlastP	0.0e+00
67	6656	1	374	1	AGM34082.1	hypothetical protein	Lactuca sativa	nr	diaBlastP	2.0e-61
68	6655	3	279	1	GAV75535.1	rve domain-containing protein/RVT_3 domain-containing protein	Cephalotus follicularis	nr	diaBlastP	1.6e-82
