id	name	length	belongsGroup	isSample	isType
5001	D36-s2_c15-0-2	784	2	2	2
5002	D36-s2_c52-0-1	769	2	2	2
5003	D36-s2_c100-0-1	1444	2	2	2
5004	D36-s2_c154-0-1	567	2	2	2
5005	D36-s2_c420-0-1	642	2	2	2
5006	D36-s2_c457-0-1	629	2	2	2
5007	D36-s2_c1066-0-1	532	2	2	2
5008	D36-s2_c1066-0-2	579	2	2	2
5009	D36-s2_c1182-0-1	594	2	2	2
5010	D36-s2_c1434-0-1	887	2	2	2
5011	D36-s2_c1761-0-1	586	2	2	2
5012	D36-s2_c2419-0-1	645	2	2	2
5013	D36-s2_c2530-0-1	817	2	2	2
5014	D36-s2_c2932-0-1	508	2	2	2
5015	D36-s2_c3836-0-1	1862	2	2	2
5016	D36-s2_c3836-0-2	1077	2	2	2
5017	D36-s2_c4105-0-1	1119	2	2	2
5018	D36-s2_c4328-0-1	1110	2	2	2
5019	D36-s2_c4392-0-1	539	2	2	2
5020	D36-s2_c4521-0-1	658	2	2	2
5021	D36-s2_c5452-0-1	1075	2	2	2
5022	D36-s2_c5452-0-2	1363	2	2	2
5023	D36-s2_c5516-0-1	844	2	2	2
5024	D36-s2_c5567-0-1	699	2	2	2
5025	D36-s2_c5650-0-1	1046	2	2	2
5026	D36-s2_c5989-0-1	1043	2	2	2
5027	D36-s2_c5989-0-2	835	2	2	2
5028	D36-s2_c5992-0-1	627	2	2	2
5029	D36-s2_c6057-0-1	869	2	2	2
5030	D36-s2_c6104-0-1	686	2	2	2
5031	D36-s2_c6104-0-2	656	2	2	2
5032	D36-s2_c6300-0-1	529	2	2	2
5033	D36-s2_c6326-0-1	1826	2	2	2
5034	D36-s2_c6516-0-1	1543	2	2	2
5035	D36-s2_c6828-0-1	644	2	2	2
5036	D36-s2_c6879-0-1	592	2	2	2
5037	D36-s2_c7025-0-1	589	2	2	2
5038	D36-s2_c7132-0-1	913	2	2	2
5039	D36-s2_c7206-0-1	1028	2	2	2
5040	D36-s2_c7206-0-2	1046	2	2	2
5041	D36-s2_c7576-0-1	806	2	2	2
