id	parentSeq	childSeq	strand	pStart	pEnd	cStart	cEnd	method
1695	1	6623	0	1	3057	1	910	AUGUSTUS
1696	2	6624	1	1816	2930	1	347	AUGUSTUS
1697	3	6625	0	1	5317	1	743	AUGUSTUS
1698	3	6626	0	5576	6717	1	216	AUGUSTUS
1699	3	6627	0	6968	8407	1	173	AUGUSTUS
1700	4	6628	0	1	2547	1	182	AUGUSTUS
1701	5	6629	1	4	3294	1	538	AUGUSTUS
1702	6	6630	0	112	2027	1	427	AUGUSTUS
1703	7	6631	1	2	6743	1	714	AUGUSTUS
1704	8	6632	1	2	5644	1	1000	AUGUSTUS
1705	8	6633	1	6716	10118	1	1070	AUGUSTUS
1706	9	6634	0	1	3497	1	1089	AUGUSTUS
1707	11	6635	0	1	4317	1	858	AUGUSTUS
1708	12	6636	0	1104	2627	1	316	AUGUSTUS
1709	12	6637	0	2882	3422	1	121	AUGUSTUS
1710	13	6638	1	886	2652	1	336	AUGUSTUS
1711	13	6639	1	6946	7741	1	129	AUGUSTUS
1712	13	6640	1	13396	14176	1	124	AUGUSTUS
1713	14	6641	0	1045	4037	1	132	AUGUSTUS
1714	15	6642	0	1	1147	1	368	AUGUSTUS
1715	15	6643	1	1536	3206	1	397	AUGUSTUS
1716	15	6644	0	6983	7767	1	185	AUGUSTUS
1717	16	6645	0	1	2567	1	606	AUGUSTUS
1718	17	6646	1	1	9601	1	1687	AUGUSTUS
1719	18	6647	1	246	1120	1	163	AUGUSTUS
1720	18	6648	1	1186	3091	1	117	AUGUSTUS
1721	18	6649	1	3306	7152	1	1082	AUGUSTUS
1722	19	6650	0	1	3517	1	121	AUGUSTUS
1723	19	6651	0	3699	4287	1	107	AUGUSTUS
1724	19	6652	1	4396	8335	1	190	AUGUSTUS
1725	19	6653	1	8586	12203	1	272	AUGUSTUS
1726	20	6654	0	328	2327	1	375	AUGUSTUS
1727	20	6655	1	2456	5710	1	703	AUGUSTUS
1728	20	6656	0	6127	10497	1	279	AUGUSTUS
1729	21	6657	1	3107	3870	1	165	AUGUSTUS
1730	21	6658	1	4716	7107	1	261	AUGUSTUS
1731	22	6659	1	1	2853	1	237	AUGUSTUS
1732	22	6660	1	4366	7936	1	330	AUGUSTUS
1733	23	6661	0	1	6867	1	468	AUGUSTUS
1734	24	6662	1	2	8289	1	1458	AUGUSTUS
1735	25	6663	1	1	1965	1	157	AUGUSTUS
1736	25	6664	0	2847	4307	1	102	AUGUSTUS
1737	26	6665	0	146	7217	1	236	AUGUSTUS
1738	27	6666	1	1	1648	1	247	AUGUSTUS
1739	27	6667	1	4806	6513	1	466	AUGUSTUS
1740	28	6668	1	2704	10401	1	2271	AUGUSTUS
1741	29	6669	1	4	1544	1	334	AUGUSTUS
1742	29	6670	0	2718	3967	1	328	AUGUSTUS
1743	29	6671	1	4246	6957	1	466	AUGUSTUS
1744	29	6672	0	8025	13377	1	697	AUGUSTUS
1745	30	6673	1	1	2103	1	442	AUGUSTUS
1746	30	6674	0	2156	4277	1	114	AUGUSTUS
1747	30	6675	1	13006	15910	1	674	AUGUSTUS
1748	31	6676	0	1	4647	1	755	AUGUSTUS
1749	32	6677	0	1	3677	1	208	AUGUSTUS
1750	33	6678	1	1366	9404	1	1487	AUGUSTUS
1751	34	6679	1	97	2468	1	789	AUGUSTUS
1752	35	6680	1	1386	6365	1	972	AUGUSTUS
1753	35	6681	0	6412	11417	1	148	AUGUSTUS
1754	36	6682	0	1160	3887	1	813	AUGUSTUS
1755	36	6683	0	4348	8397	1	771	AUGUSTUS
1756	37	6684	0	170	1617	1	398	AUGUSTUS
1757	37	6685	0	1808	2997	1	355	AUGUSTUS
1758	37	6686	0	3145	3952	1	180	AUGUSTUS
1759	38	6687	0	3276	5367	1	126	AUGUSTUS
1760	39	6688	0	233	4957	1	1102	AUGUSTUS
1761	39	6689	0	5231	7717	1	734	AUGUSTUS
1762	40	6690	1	456	3128	1	256	AUGUSTUS
1763	41	6691	1	271	1294	1	209	AUGUSTUS
1764	41	6692	1	1346	2714	1	355	AUGUSTUS
1765	42	6693	0	337	11127	1	1636	AUGUSTUS
1766	42	6694	0	11187	13037	1	122	AUGUSTUS
1767	42	6695	0	13643	15937	1	303	AUGUSTUS
1768	42	6696	0	21504	24037	1	162	AUGUSTUS
1769	43	6697	0	1	2017	1	639	AUGUSTUS
1770	43	6698	0	2342	6247	1	116	AUGUSTUS
1771	44	6699	0	1	1637	1	376	AUGUSTUS
1772	44	6700	1	2316	5701	1	611	AUGUSTUS
1773	44	6701	0	5903	7127	1	186	AUGUSTUS
1774	44	6702	0	7333	11447	1	310	AUGUSTUS
1775	44	6703	0	13068	23037	1	2006	AUGUSTUS
1776	44	6704	0	24169	25237	1	246	AUGUSTUS
1777	44	6705	0	25434	31527	1	851	AUGUSTUS
1778	44	6706	0	32684	36467	1	368	AUGUSTUS
1779	44	6707	0	37519	44597	1	410	AUGUSTUS
1780	45	6708	1	2441	3810	1	403	AUGUSTUS
1781	46	6709	0	1241	7467	1	1759	AUGUSTUS
1782	47	6710	1	150	1496	1	297	AUGUSTUS
1783	47	6711	0	1770	11977	1	2245	AUGUSTUS
1784	47	6712	0	12089	13147	1	167	AUGUSTUS
1785	47	6713	1	13256	19394	1	1145	AUGUSTUS
1786	47	6714	0	19669	24457	1	526	AUGUSTUS
1787	47	6715	1	25316	33257	1	966	AUGUSTUS
1788	48	6716	1	20	904	1	227	AUGUSTUS
1789	49	6717	1	226	12525	1	2171	AUGUSTUS
1790	49	6718	1	12636	13854	1	256	AUGUSTUS
1791	50	6719	1	226	10583	1	2237	AUGUSTUS
1792	52	6720	0	372	3777	1	313	AUGUSTUS
1793	52	6721	1	7006	13730	1	1034	AUGUSTUS
1794	52	6722	0	15407	18577	1	882	AUGUSTUS
1795	53	6723	1	1	4365	1	536	AUGUSTUS
1796	54	6724	0	1	3467	1	796	AUGUSTUS
1797	54	6725	0	3589	4887	1	341	AUGUSTUS
1798	55	6726	0	2608	3317	1	103	AUGUSTUS
1799	55	6727	1	4536	5517	1	138	AUGUSTUS
1800	55	6728	0	9326	13017	1	469	AUGUSTUS
1801	55	6729	0	16903	17357	1	115	AUGUSTUS
1802	55	6730	1	18176	19855	1	107	AUGUSTUS
1803	55	6731	1	20796	25359	1	552	AUGUSTUS
