id	parentSeq	childSeq	strand	pStart	pEnd	cStart	cEnd	method
1	2695	5001	0	13205	14228	205	784	Blitz
2	1395	5003	0	25280	26719	1	1444	Blitz
3	1934	5005	1	3409	4047	1	639	Blitz
4	4781	5006	1	1349	1977	1	629	Blitz
5	2100	5004	0	1970	2890	62	560	Blitz
6	4484	5007	0	11614	12105	44	389	Blitz
7	4484	5008	0	11614	12105	44	389	Blitz
8	4526	5009	0	3163	3755	1	593	Blitz
9	3017	5010	1	17649	18379	1	887	Blitz
10	1634	5011	0	6053	6548	67	561	Blitz
11	4626	5012	1	4468	5002	1	535	Blitz
12	1175	5013	1	13301	14126	1	817	Blitz
13	4047	5014	0	1338	1648	13	323	Blitz
14	3094	5002	0	16465	32768	1	769	Blitz
15	974	5016	0	3710	4626	1	915	Blitz
16	974	5015	0	3710	5324	88	1700	Blitz
17	2210	5017	1	11926	13976	1	1119	Blitz
18	1662	5018	1	11132	15413	1	1018	Blitz
19	3955	5019	1	6335	6873	1	539	Blitz
20	1205	5020	0	1655	4338	1	658	Blitz
21	4892	5021	1	2026	4490	1	1075	Blitz
22	4222	5023	1	6924	7678	183	844	Blitz
23	4892	5022	1	2026	4490	1	1363	Blitz
24	4673	5024	0	3068	3586	191	699	Blitz
25	3754	5025	1	2037	6953	1	1046	Blitz
26	4673	5027	1	53	1644	105	835	Blitz
27	4673	5026	1	1	1644	133	1043	Blitz
28	3561	5028	0	1210	1858	1	606	Blitz
29	3869	5029	1	5487	6355	1	869	Blitz
30	4817	5030	1	262	2375	89	686	Blitz
31	4817	5031	1	905	2375	1	656	Blitz
32	2366	5032	0	4180	4874	1	529	Blitz
33	1900	5033	0	10697	12688	120	1826	Blitz
34	763	5034	1	981	7707	1	1277	Blitz
35	2694	5035	1	81	519	138	576	Blitz
36	3974	5036	0	7719	8121	190	592	Blitz
37	4527	5037	0	11491	12230	1	589	Blitz
38	1588	5038	0	16302	18838	1	913	Blitz
39	1640	5039	1	12199	13038	189	1028	Blitz
40	1640	5040	1	12199	13038	207	1046	Blitz
41	278	5041	1	9868	10650	1	783	Blitz
42	4162	5042	0	16164	16784	1	512	Blitz
43	30	5045	1	13589	15888	4	1843	Blitz
44	1253	5044	1	19786	20638	366	1251	Blitz
45	4105	5046	0	8949	9799	1	780	Blitz
46	1253	5043	1	19786	20638	302	1187	Blitz
47	3533	5047	0	2168	2610	79	523	Blitz
48	3866	5048	0	1809	2535	33	645	Blitz
49	2204	5049	1	1889	2514	63	686	Blitz
50	333	5050	1	24596	26529	1	390	Blitz
51	4536	5051	1	2956	3760	1	480	Blitz
52	4451	5053	0	4454	5911	1	767	Blitz
53	3891	5052	0	5447	5953	1	415	Blitz
54	3463	5054	1	14201	15311	5	852	Blitz
55	842	5055	0	845	1393	1	549	Blitz
56	2210	5056	0	14178	16404	12	932	Blitz
57	2210	5057	0	14442	16404	12	668	Blitz
58	3519	5058	0	6596	7229	1	634	Blitz
59	3491	5059	0	81	1368	21	821	Blitz
