id	name	length	belongsGroup	isSample	isType
1	D18-gDNA-s1	5169	1	1	1
2	D18-gDNA-s2	2930	1	1	1
3	D18-gDNA-s3	8962	1	1	1
4	D18-gDNA-s4	3147	1	1	1
5	D18-gDNA-s5	3409	1	1	1
6	D18-gDNA-s6	2094	1	1	1
7	D18-gDNA-s7	8224	1	1	1
8	D18-gDNA-s8	10118	1	1	1
9	D18-gDNA-s9	4659	1	1	1
10	D18-gDNA-s10	3407	1	1	1
11	D18-gDNA-s11	5333	1	1	1
12	D18-gDNA-s12	3457	1	1	1
13	D18-gDNA-s13	16463	1	1	1
14	D18-gDNA-s14	5571	1	1	1
15	D18-gDNA-s15	9511	1	1	1
16	D18-gDNA-s16	2686	1	1	1
17	D18-gDNA-s17	12459	1	1	1
18	D18-gDNA-s18	8952	1	1	1
19	D18-gDNA-s19	13566	1	1	1
20	D18-gDNA-s20	10960	1	1	1
21	D18-gDNA-s21	9696	1	1	1
22	D18-gDNA-s22	7936	1	1	1
23	D18-gDNA-s23	8359	1	1	1
24	D18-gDNA-s24	10637	1	1	1
25	D18-gDNA-s25	4862	1	1	1
26	D18-gDNA-s26	8650	1	1	1
27	D18-gDNA-s27	6953	1	1	1
28	D18-gDNA-s28	10921	1	1	1
29	D18-gDNA-s29	13518	1	1	1
30	D18-gDNA-s30	15986	1	1	1
31	D18-gDNA-s31	4766	1	1	1
32	D18-gDNA-s32	7339	1	1	1
33	D18-gDNA-s33	14589	1	1	1
34	D18-gDNA-s34	2468	1	1	1
35	D18-gDNA-s35	12966	1	1	1
36	D18-gDNA-s37	8726	1	1	1
37	D18-gDNA-s38	3952	1	1	1
38	D18-gDNA-s39	6342	1	1	1
39	D18-gDNA-s40	8274	1	1	1
40	D18-gDNA-s41	5296	1	1	1
41	D18-gDNA-s42	2714	1	1	1
42	D18-gDNA-s43	25390	1	1	1
43	D18-gDNA-s44	9180	1	1	1
44	D18-gDNA-s46	45596	1	1	1
45	D18-gDNA-s47	4754	1	1	1
46	D18-gDNA-s48	7623	1	1	1
47	D18-gDNA-s49	33257	1	1	1
48	D18-gDNA-s50	3892	1	1	1
49	D18-gDNA-s53	15538	1	1	1
50	D18-gDNA-s54	12554	1	1	1
51	D18-gDNA-s55	3285	1	1	1
52	D18-gDNA-s56	18947	1	1	1
53	D18-gDNA-s57	15386	1	1	1
54	D18-gDNA-s59	5258	1	1	1
55	D18-gDNA-s60	25958	1	1	1
56	D18-gDNA-s62	4538	1	1	1
57	D18-gDNA-s63	2677	1	1	1
58	D18-gDNA-s64	16728	1	1	1
59	D18-gDNA-s65	18517	1	1	1
60	D18-gDNA-s66	3749	1	1	1
61	D18-gDNA-s68	3410	1	1	1
62	D18-gDNA-s69	11392	1	1	1
63	D18-gDNA-s70	11386	1	1	1
64	D18-gDNA-s71	8383	1	1	1
65	D18-gDNA-s72	6913	1	1	1
66	D18-gDNA-s73	8690	1	1	1
67	D18-gDNA-s74	7555	1	1	1
68	D18-gDNA-s75	32427	1	1	1
69	D18-gDNA-s76	13067	1	1	1
70	D18-gDNA-s77	12428	1	1	1
71	D18-gDNA-s78	24451	1	1	1
72	D18-gDNA-s80	2793	1	1	1
73	D18-gDNA-s81	2147	1	1	1
74	D18-gDNA-s82	2785	1	1	1
75	D18-gDNA-s83	2733	1	1	1
76	D18-gDNA-s84	5440	1	1	1
77	D18-gDNA-s85	21543	1	1	1
78	D18-gDNA-s86	6239	1	1	1
79	D18-gDNA-s87	11161	1	1	1
80	D18-gDNA-s88	4686	1	1	1
81	D18-gDNA-s89	13889	1	1	1
82	D18-gDNA-s90	2959	1	1	1
83	D18-gDNA-s91	17998	1	1	1
84	D18-gDNA-s92	8522	1	1	1
85	D18-gDNA-s93	24586	1	1	1
86	D18-gDNA-s94	24871	1	1	1
87	D18-gDNA-s95	8199	1	1	1
88	D18-gDNA-s96	12139	1	1	1
89	D18-gDNA-s97	16488	1	1	1
90	D18-gDNA-s98	3082	1	1	1
91	D18-gDNA-s99	8030	1	1	1
92	D18-gDNA-s100	3702	1	1	1
93	D18-gDNA-s101	8576	1	1	1
94	D18-gDNA-s102	2137	1	1	1
95	D18-gDNA-s103	3601	1	1	1
96	D18-gDNA-s104	68020	1	1	1
97	D18-gDNA-s106	6868	1	1	1
98	D18-gDNA-s107	10027	1	1	1
99	D18-gDNA-s108	28563	1	1	1
100	D18-gDNA-s109	11909	1	1	1
101	D18-gDNA-s110	14297	1	1	1
102	D18-gDNA-s111	3417	1	1	1
103	D18-gDNA-s112	3718	1	1	1
104	D18-gDNA-s113	6878	1	1	1
105	D18-gDNA-s114	28759	1	1	1
106	D18-gDNA-s115	2558	1	1	1
107	D18-gDNA-s116	22775	1	1	1
108	D18-gDNA-s117	7141	1	1	1
109	D18-gDNA-s120	23577	1	1	1
110	D18-gDNA-s121	10886	1	1	1
111	D18-gDNA-s122	4459	1	1	1
112	D18-gDNA-s123	16164	1	1	1
113	D18-gDNA-s125	16499	1	1	1
114	D18-gDNA-s126	3014	1	1	1
115	D18-gDNA-s127	19460	1	1	1
116	D18-gDNA-s128	2472	1	1	1
117	D18-gDNA-s129	2379	1	1	1
118	D18-gDNA-s130	15461	1	1	1
119	D18-gDNA-s131	7891	1	1	1
120	D18-gDNA-s132	3836	1	1	1
121	D18-gDNA-s133	4844	1	1	1
122	D18-gDNA-s136	13513	1	1	1
123	D18-gDNA-s137	7908	1	1	1
124	D18-gDNA-s138	3667	1	1	1
125	D18-gDNA-s139	3963	1	1	1
126	D18-gDNA-s140	2963	1	1	1
127	D18-gDNA-s141	19943	1	1	1
128	D18-gDNA-s142	3440	1	1	1
129	D18-gDNA-s143	9256	1	1	1
130	D18-gDNA-s144	2990	1	1	1
131	D18-gDNA-s145	13821	1	1	1
132	D18-gDNA-s146	16438	1	1	1
133	D18-gDNA-s147	33584	1	1	1
134	D18-gDNA-s148	6756	1	1	1
135	D18-gDNA-s149	2422	1	1	1
136	D18-gDNA-s150	8626	1	1	1
137	D18-gDNA-s151	3847	1	1	1
138	D18-gDNA-s152	34052	1	1	1
139	D18-gDNA-s153	10620	1	1	1
140	D18-gDNA-s154	11627	1	1	1
141	D18-gDNA-s155	4412	1	1	1
142	D18-gDNA-s156	7264	1	1	1
143	D18-gDNA-s157	2372	1	1	1
144	D18-gDNA-s159	8395	1	1	1
145	D18-gDNA-s160	4165	1	1	1
146	D18-gDNA-s162	13230	1	1	1
